aha,anagram_id,estimate,rt,subject_id,tpe
0.0,19,0.2700000000000001,0.05558333333333333,1.0,0.2144166666666667
0.0,29,0.0,0.0566,1.0,-0.0566
0.0,43,0.0,0.0642,1.0,-0.0642
6.0,0,0.2700000000000001,0.052083333333333336,2.0,0.2179166666666667
5.0,74,0.44999999999999996,0.0663,2.0,0.38369999999999993
5.0,24,0.2700000000000001,0.04371666666666667,2.0,0.22628333333333336
6.0,53,2.4,0.20808333333333331,2.0,2.1919166666666663
5.0,73,3.0,0.3618166666666667,3.0,2.638183333333333
6.0,28,0.44999999999999996,0.08143333333333333,3.0,0.3685666666666666
6.0,46,2.52,0.2783666666666667,3.0,2.241633333333333
3.0,82,0.99,0.19383333333333336,3.0,0.7961666666666666
1.0,16,0.4799999999999999,0.10438333333333333,3.0,0.37561666666666665
6.0,25,0.9599999999999999,0.10223333333333334,4.0,0.8577666666666666
2.0,12,0.39,0.04068333333333333,4.0,0.3493166666666667
6.0,99,0.9299999999999999,0.25473333333333337,4.0,0.6752666666666667
5.0,65,0.78,0.33738333333333337,4.0,0.4426166666666667
6.0,40,1.02,0.19160000000000002,4.0,0.8284
3.0,4,0.09,0.07503333333333333,5.0,0.014966666666666661
4.0,43,0.9599999999999999,0.18728333333333333,5.0,0.7727166666666665
2.0,20,0.05999999999999999,0.07311666666666668,5.0,-0.013116666666666681
4.0,76,0.9599999999999999,0.1391,5.0,0.8208999999999999
3.0,66,1.53,0.08813333333333334,6.0,1.4418666666666666
3.0,3,2.01,0.14100000000000001,6.0,1.8689999999999998
3.0,98,1.56,0.08491666666666667,6.0,1.4750833333333335
1.0,0,0.0,0.0625,7.0,-0.0625
2.0,46,0.4799999999999999,0.13063333333333332,7.0,0.3493666666666666
1.0,20,0.0,0.0781,7.0,-0.0781
0.0,71,0.0,0.07665000000000001,7.0,-0.07665000000000001
5.0,25,0.15,0.036800000000000006,8.0,0.1132
5.0,58,0.44999999999999996,1.2311166666666666,8.0,-0.7811166666666668
3.0,9,0.0,0.02745,8.0,-0.02745
4.0,76,0.44999999999999996,0.04721666666666667,8.0,0.4027833333333332
3.0,94,0.0,0.15265,8.0,-0.15265
4.0,78,0.57,0.08591666666666667,9.0,0.48408333333333325
4.0,47,0.029999999999999995,0.08066666666666666,9.0,-0.050666666666666665
5.0,10,0.0,0.05923333333333334,9.0,-0.05923333333333334
5.0,20,0.029999999999999995,0.06143333333333333,9.0,-0.031433333333333334
4.0,85,0.4799999999999999,0.08248333333333333,9.0,0.39751666666666663
1.0,60,0.09,0.04955,10.0,0.04044999999999999
1.0,59,0.029999999999999995,0.04011666666666667,10.0,-0.01011666666666667
0.0,8,0.0,0.04593333333333334,10.0,-0.04593333333333334
3.0,26,0.23999999999999996,0.06521666666666667,10.0,0.17478333333333332
0.0,99,0.029999999999999995,0.05191666666666667,10.0,-0.021916666666666675
5.0,0,2.55,0.11926666666666667,11.0,2.4307333333333334
5.0,53,2.4899999999999998,0.7539166666666667,11.0,1.736083333333333
6.0,24,3.0,0.22953333333333334,11.0,2.7704666666666666
6.0,96,2.9699999999999998,0.2552666666666667,11.0,2.714733333333333
5.0,74,3.0,0.19295,11.0,2.80705
1.0,14,0.44999999999999996,0.05378333333333333,12.0,0.3962166666666666
1.0,33,0.42,0.04995,12.0,0.37005
2.0,42,0.9599999999999999,0.30118333333333336,12.0,0.6588166666666666
4.0,72,0.9599999999999999,0.9318333333333334,12.0,0.02816666666666651
1.0,85,0.4799999999999999,0.057583333333333334,12.0,0.42241666666666666
0.0,2,0.0,0.06916666666666667,13.0,-0.06916666666666667
6.0,35,3.0,0.16195,13.0,2.83805
5.0,66,2.52,0.2659666666666667,13.0,2.254033333333333
1.0,51,0.44999999999999996,0.178,14.0,0.27199999999999996
0.0,87,0.11999999999999998,0.10943333333333333,14.0,0.010566666666666658
1.0,39,0.05999999999999999,0.08038333333333333,14.0,-0.020383333333333347
0.0,71,0.21,0.12968333333333334,14.0,0.08031666666666665
3.0,2,0.51,0.16496666666666665,14.0,0.34503333333333336
4.0,40,1.74,0.9055833333333333,15.0,0.8344166666666667
4.0,12,2.9099999999999997,0.29173333333333334,15.0,2.6182666666666665
4.0,99,2.07,0.23705,15.0,1.8329499999999999
4.0,25,1.74,0.16278333333333334,15.0,1.577216666666667
4.0,65,0.9599999999999999,0.3375,15.0,0.6224999999999999
0.0,51,2.04,0.12788333333333332,16.0,1.9121166666666667
0.0,68,0.0,0.07223333333333334,16.0,-0.07223333333333334
0.0,37,0.44999999999999996,0.06376666666666667,16.0,0.38623333333333326
0.0,19,0.0,0.05343333333333333,16.0,-0.05343333333333333
0.0,86,0.0,0.09213333333333334,16.0,-0.09213333333333334
5.0,75,0.9299999999999999,0.13681666666666667,17.0,0.7931833333333332
5.0,96,1.98,0.11075,17.0,1.86925
3.0,45,0.9599999999999999,0.2745166666666667,17.0,0.6854833333333332
5.0,26,0.39,0.03548333333333333,17.0,0.3545166666666667
2.0,9,0.09,0.10198333333333333,17.0,-0.011983333333333339
5.0,78,1.47,0.19063333333333335,18.0,1.2793666666666668
3.0,81,3.0,0.16840000000000002,18.0,2.8316
6.0,45,2.4899999999999998,0.75785,18.0,1.7321499999999996
0.0,27,0.44999999999999996,0.06743333333333333,18.0,0.3825666666666666
0.0,15,0.0,0.03913333333333333,18.0,-0.03913333333333333
6.0,14,0.0,0.049749999999999996,19.0,-0.049749999999999996
6.0,70,0.0,0.039516666666666665,19.0,-0.039516666666666665
6.0,88,0.0,0.0324,19.0,-0.0324
6.0,41,0.0,0.027033333333333336,19.0,-0.027033333333333336
5.0,97,1.98,0.9490999999999999,20.0,1.0309
4.0,20,0.9599999999999999,0.15826666666666667,20.0,0.8017333333333332
6.0,0,0.0,0.059416666666666666,20.0,-0.059416666666666666
4.0,7,0.0,0.04703333333333334,21.0,-0.04703333333333334
5.0,99,0.18,0.06425,21.0,0.11574999999999998
3.0,21,0.0,0.04961666666666666,21.0,-0.04961666666666666
4.0,67,0.11999999999999998,0.05445,21.0,0.06554999999999998
6.0,56,0.69,0.7506,21.0,-0.06060000000000005
5.0,2,0.75,0.0773,22.0,0.6727000000000001
6.0,90,3.0,0.16571666666666665,22.0,2.834283333333333
4.0,35,0.4799999999999999,0.06838333333333332,22.0,0.4116166666666666
6.0,22,0.0,0.11928333333333334,23.0,-0.11928333333333334
6.0,78,0.0,0.18061666666666668,23.0,-0.18061666666666668
5.0,45,0.39,0.08370000000000001,23.0,0.3063
6.0,3,0.0,0.06183333333333333,23.0,-0.06183333333333333
5.0,94,0.44999999999999996,0.1329,23.0,0.31709999999999994
6.0,27,1.98,0.16691666666666669,24.0,1.8130833333333334
3.0,85,1.44,0.15676666666666667,24.0,1.283233333333333
2.0,16,0.99,0.07853333333333333,24.0,0.9114666666666668
0.0,44,0.9599999999999999,0.12328333333333334,24.0,0.8367166666666666
6.0,73,3.0,0.3362666666666667,24.0,2.6637333333333335
5.0,47,0.9599999999999999,0.19190000000000002,25.0,0.7680999999999999
4.0,68,0.44999999999999996,0.2814,25.0,0.16859999999999994
6.0,26,0.15,0.04821666666666667,25.0,0.10178333333333332
1.0,93,1.38,0.39713333333333334,25.0,0.9828666666666666
6.0,10,0.15,0.07771666666666667,25.0,0.07228333333333332
4.0,15,0.0,0.04905,26.0,-0.04905
4.0,61,0.0,0.04753333333333333,26.0,-0.04753333333333333
5.0,58,0.44999999999999996,0.11346666666666666,26.0,0.3365333333333333
4.0,30,0.36,0.12051666666666666,26.0,0.2394833333333333
2.0,87,0.0,0.06863333333333334,26.0,-0.06863333333333334
4.0,23,0.99,0.09108333333333334,27.0,0.8989166666666667
5.0,41,0.9599999999999999,0.08711666666666668,27.0,0.8728833333333331
2.0,71,1.98,0.7126,27.0,1.2673999999999999
5.0,17,0.44999999999999996,0.05363333333333333,27.0,0.3963666666666666
2.0,82,1.98,0.6962833333333334,27.0,1.2837166666666666
5.0,2,3.0,0.20911666666666667,28.0,2.7908833333333334
5.0,50,3.0,1.6569333333333334,28.0,1.3430666666666666
5.0,90,3.0,0.2608666666666667,28.0,2.7391333333333336
5.0,35,3.0,0.40426666666666666,28.0,2.5957333333333334
